,type,country,sex_,species_,fatal_(y/n),date,new_sex,new_type,year,age,new_age
495,Unprovoked,australia,M,white_shark,N,02-Oct-2014,M,Unprovoked,2014.0,23.0,23.0
496,Unprovoked,usa,M,unspecified,N,21-Sep-2014,M,Unprovoked,2014.0,27.6,27.32915451895044
497,Unprovoked,french polynesia,F,unspecified,N,Reported 12-Sep-2014,F,Unprovoked,2014.0,36.0,36.0
498,Invalid,usa,M,unspecified,,13-Sep-2014,M,Invalid,2014.0,27.6,27.32915451895044
499,Unprovoked,australia,M,unspecified,Y,09-Sep-2014,M,Unprovoked,2014.0,50.0,50.0
500,Unprovoked,usa,M,unspecified,N,06-Sep-2014,M,Unprovoked,2014.0,43.0,43.0
501,Boating,usa,F,white_shark,N,03-Sep-2014,F,Boating,2014.0,20.0,20.0
502,Provoked,usa,M,unspecified,N,02-Sep-2014,M,Provoked,2014.0,52.0,52.0
503,Unprovoked,spain,M,unspecified,N,Sep-2014,M,Unprovoked,2014.0,16.0,16.0
504,Unprovoked,usa,F,unspecified,N,31-Aug-2014,F,Unprovoked,2014.0,13.0,13.0
505,Unprovoked,usa,M,unspecified,N,29-Aug-2014,M,Unprovoked,2014.0,17.0,17.0
506,Invalid,usa,,unspecified,,29-Aug-2014,M,Invalid,2014.0,27.6,27.32915451895044
507,Provoked,usa,M,unspecified,N,28-Aug-2014,M,Provoked,2014.0,33.0,33.0
508,Unprovoked,spain,F,unspecified,N,27-Aug-2014,F,Unprovoked,2014.0,30.0,30.0
509,Unprovoked,usa,M,unspecified,N,27-Aug-2014,M,Unprovoked,2014.0,29.0,29.0
510,Unprovoked,usa,F,unspecified,N,27-Aug-2014,F,Unprovoked,2014.0,27.6,27.32915451895044
511,Provoked,usa,M,unspecified,N,Reported 25-Aug-2014,M,Provoked,2014.0,27.6,27.32915451895044
512,Unprovoked,usa,,unspecified,N,24-Aug-2014,M,Unprovoked,2014.0,27.6,27.32915451895044
513,Unprovoked,australia,M,unspecified,N,16-Aug-2014,M,Unprovoked,2014.0,31.0,31.0
514,Unprovoked,usa,M,unspecified,N,12-Aug-2014,M,Unprovoked,2014.0,27.6,27.32915451895044
515,Unprovoked,usa,M,unspecified,N,10-Aug-2014,M,Unprovoked,2014.0,26.0,26.0
516,Unprovoked,bahamas,M,unspecified,N,09-Aug-2014,M,Unprovoked,2014.0,27.6,27.32915451895044
517,Unprovoked,usa,F,unspecified,N,09-Aug-2014,F,Unprovoked,2014.0,10.0,10.0
518,Unprovoked,usa,M,unspecified,N,08-Aug-2014,M,Unprovoked,2014.0,7.0,7.0
519,Unprovoked,usa,M,unspecified,N,06-Aug-2014,M,Unprovoked,2014.0,10.0,10.0
520,Unprovoked,usa,F,unspecified,N,05-Aug-2014,F,Unprovoked,2014.0,45.0,45.0
521,Unprovoked,usa,M,unspecified,N,02-Aug-2014,M,Unprovoked,2014.0,50.0,50.0
522,Unprovoked,south africa,M,white_shark,N,01-Aug-2014,M,Unprovoked,2014.0,20.0,20.0
523,Invalid,,M,unspecified,,Aug-2014,M,Invalid,2014.0,27.6,27.32915451895044
524,Unprovoked,usa,M,tiger_shark,N,27-Jul-2014,M,Unprovoked,2014.0,27.6,27.32915451895044
